THIS IS A SAMPLE MECHANISM FILE IN A. ARCHIBALS'S SPREADSHEET FORMAT																							
Note: This file does not constitute a full chemical mechanism and should not be used in model applications																							
It is merely a subset of reaction equations for testin gthe python package AtmosphericChemistry																							
																							
																							
EQUATIONS																							
code	reac.1	reac.2	reac.3	prod.1	prod.2	prod.3	prod.4	prod.5	prod.6	prod.7	prod.8	prod.9	prod.10	ai.fac	bi.fac	ei.fac	a0.fac	b0.fac	e0.fac	ffac	mech	rxn.type	comment
[jo2_b=userdefined,]	O2	hv	NA	2*O	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jo3_a]	O3	hv	NA	O1D	O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jo3_b]	O3	hv	NA	O	O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jn2o]	N2O	hv	NA	O1D	N2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jno2]	NO2	hv	NA	NO	O	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jn2o5_a]	N2O5	hv	NA	NO2	NO3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jn2o5_b]	N2O5	hv	NA	NO	O	NO3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jhno3]	HNO3	hv	NA	NO2	OH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jno3_a]	NO3	hv	NA	NO2	O	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[jpan]	PAN	hv	NA	.6*CH3CO3	.6*NO2	.4*CH3O2	.4*NO3	.4*CO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	photolysis	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_O_O2]	O	O2	M	O3	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[O_O3]	O	O3	NA	2*O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.00E-12	NA	-2060	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[O1D_N2]	O1D	N2	NA	O	N2	NA	NA	NA	NA	NA	NA	NA	NA	2.15E-11	NA	110	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_l2]	OH	O3	NA	HO2	O2	NA	NA	NA	NA	NA	NA	NA	NA	1.70E-12	NA	-940	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[OH_HO2]	OH	HO2	NA	H2O	O2	NA	NA	NA	NA	NA	NA	NA	NA	4.80E-11	NA	250	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[OH_OH]	OH	OH	NA	H2O	O	NA	NA	NA	NA	NA	NA	NA	NA	1.80E-12	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[OH_OH_M]	OH	OH	M	H2O2	M	NA	NA	NA	NA	NA	NA	NA	NA	2.60E-11	0	NA	6.90E-31	1	NA	0.6	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[OH_H2]	OH	H2	NA	H2O	H	NA	NA	NA	NA	NA	NA	NA	NA	2.80E-12	NA	-1800	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[OH_H2O2]	OH	H2O2	NA	H2O	HO2	NA	NA	NA	NA	NA	NA	NA	NA	1.80E-12	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[H2_O]	H2	O	NA	OH	H	NA	NA	NA	NA	NA	NA	NA	NA	1.60E-11	NA	-4570	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[HO2_O]	HO2	O	NA	OH	O2	NA	NA	NA	NA	NA	NA	NA	NA	3.00E-11	NA	200	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[ox_l3]	HO2	O3	NA	OH	2*O2	NA	NA	NA	NA	NA	NA	NA	NA	1.00E-14	NA	-490	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
[usr_HO2_HO2]	HO2	HO2	NA	H2O2	O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	trop_mozart_soa	thermal	Imported from pp_trop_mozart_soa chem_mech.in on 2013-08-28 17:15:01by Alex Archibald (ata27@ucar.edu)
